x,y,v_max_ms
-2.212512216399337,1.1890932547517674,88.8
-1.2306377358930434,1.0398977375460896,88.8
-0.248699368431139,0.8911270342342952,88.8
0.7333028795680404,0.742782992675875,88.8
1.715369001686159,0.5948674607303205,88.8
2.6974989915048804,0.44738228625712334,88.8
3.6796933229826836,0.30032310209816915,88.8
4.661952078280993,0.1536850177803634,88.8
5.6442745186057275,0.007470635143504235,88.8
6.626659904196739,-0.13831743366119842,88.8
7.609107495293887,-0.2836765764825355,88.8
8.59161770601263,-0.4286099342975544,88.8
9.57419125379887,-0.573123294967235,88.8
10.556827256920174,-0.7172151783576461,88.8
11.539524825349904,-0.8608840648242084,88.8
12.522283069061421,-1.0041284347223425,88.8
13.505102373636086,-1.1469504146186555,88.8
14.487983707675399,-1.2893549641582018,88.8
15.470926018427802,-1.431342066402959,88.8
16.453928230697066,-1.5729116446932767,88.8
17.43698926928696,-1.714063622369504,88.8
18.420109443157912,-1.8547994604515443,88.8
19.40329002192946,-1.99512264785999,88.8
20.386529802546033,-2.1350346519876506,88.8
21.3698275348678,-2.274536894676214,88.8
22.35318196875495,-2.4136307977673663,88.8
23.336593318999157,-2.5523173363090637,88.8
24.320063178234086,-2.6905980260932134,88.8
25.303590179265544,-2.8284760800268285,88.8
26.287172869554496,-2.96595474804362,88.8
27.2708097965619,-3.1030372800773027,88.8
28.25450101198018,-3.239724755498442,88.8
29.238248445427395,-3.3760162332694614,88.8
30.2220506400816,-3.511916280584642,88.8
31.20590600093354,-3.6474296758825977,88.8
32.189812932973894,-3.782561197601936,88.8
33.17377133049409,-3.9173121358735044,88.8
34.15778342108983,-4.051678995177754,88.8
35.14184766184464,-4.185667777979216,88.8
36.12596230376341,-4.319284986012915,88.8
37.11012559785099,-4.452537121013883,88.8
38.09433724467097,-4.585426118756894,88.8
39.078599763740286,-4.717945611941547,88.8
40.06291157390975,-4.850102763239446,88.8
41.04727080314062,-4.981905670788349,88.8
42.03167557939414,-5.113362432726012,88.8
43.01612539548992,-5.244475934435134,88.8
44.00062299945114,-5.375237086215657,88.8
44.985166835262845,-5.505653763527967,88.8
45.969754959860246,-5.635735340243402,88.8
46.954385430178526,-5.765491190233301,88.8
47.9390575646112,-5.8949250993196145,88.8
48.923774300176504,-6.024025298665172,88.8
49.90853409472354,-6.1528004529455975,88.8
50.89333490741892,-6.281261463003581,88.8
51.87817469742925,-6.409419229681813,88.8
52.86305257412596,-6.537278897287943,88.8
53.84797163512035,-6.664826033520192,88.8
54.83293041856343,-6.792069540476315,88.8
55.81792683887697,-6.919021469632693,88.8
56.80295881048278,-7.0456938724657,88.8
57.78802527386703,-7.172093131698006,88.8
58.77312943283159,-7.298202443197943,88.8
59.758269906159434,-7.424030864811269,88.8
60.74344455278949,-7.549591685481372,88.8
61.7286512316607,-7.6748981941516385,88.8
62.713888704346104,-7.799958252487744,88.8
63.699160247760986,-7.92475288585113,88.8
64.68446460204594,-8.049290885543684,88.8
65.66979959954874,-8.173586536060387,88.8
66.65516307261719,-8.297654121896208,88.8
67.6405536276214,-8.4215029369468,88.8
68.62597454780442,-8.545112382813592,88.8
69.61142472524254,-8.668490613037394,88.8
70.59690199478874,-8.79165263342557,88.8
71.58240419129595,-8.914613449785493,88.8
72.56792979688173,-9.037383643725525,88.8
73.55348204288066,-9.159941554456992,88.8
74.53905999078428,-9.282294418125371,88.8
75.52466149640368,-9.404457748118155,88.8
76.51028441555005,-9.526447057822836,88.8
77.49592712808517,-9.648274102602604,88.8
78.48159273749012,-9.769916931842971,88.8
79.46728051104733,-9.891381428678805,88.8
80.45298837678224,-10.012683113341426,88.8
81.43871426272023,-10.133837506062155,88.8
82.42445650662644,-10.254857071017737,88.8
83.41021802852525,-10.375720229140304,88.8
84.39599829031827,-10.496431471226098,88.8
85.381795296813,-10.617006187384355,88.8
86.36760705281678,-10.737459767724305,88.8
87.35343187219941,-10.857805222054699,88.8
88.33927244410387,-10.978021960478047,88.8
89.3251284405415,-11.098112846783367,88.8
90.31099797965138,-11.218092739438886,88.8
91.29687917957257,-11.337976496912828,88.8
92.2827703708987,-11.457777303355915,88.8
93.26867382754465,-11.577477315789737,88.8
94.25458949905224,-11.697077127608672,88.8
95.24051580107049,-11.816589436939092,88.8
96.2264511492484,-11.93602694190735,88.8
97.2123940901302,-12.055401292434226,88.8
98.19834642406445,-12.174698112926725,88.8
99.1843082534537,-12.293916704158379,88.8
100.17027826091957,-12.413067748501023,88.8
101.15625512908373,-12.532161928326492,88.8
102.14223761970699,-12.651209283568496,88.8
103.12822722717162,-12.770197696445315,88.8
104.11422411499085,-12.889125922553442,88.8
105.10022707536753,-13.008003861099532,88.8
106.08623490050466,-13.12684141129025,88.8
107.07224642966807,-13.245648085948995,88.8
108.0582629510246,-13.364413309070315,88.8
109.04428472942794,-13.483134954791215,88.8
110.03031063565452,-13.601822351346408,88.8
111.01633954048071,-13.72048482697061,88.8
112.00237033935424,-13.839131505798965,88.8
112.98840411360766,-13.957753437315583,88.8
113.9744412366334,-14.076347555218096,88.8
114.9604806770202,-14.194922420234391,88.8
115.94652140335683,-14.313486593092366,88.8
116.93256239438652,-14.432048550172828,88.8
117.91860453044,-14.550600975602968,88.8
118.90464826615171,-14.669140099543332,88.8
119.89069266389478,-14.787673718863816,88.8
