x,y,v_max_ms
2.8768278905470686,1.0614261642868008,88.8
1.92981125662439,1.3422451708421563,88.8
0.9828047973269202,1.623098473584979,88.8
0.035808512834792534,1.9039860662918566,88.8
-0.9111775966718598,2.1849079427393767,88.8
-1.8581535310129047,2.465864096704127,88.8
-2.8051206167315117,2.7468500917810728,88.8
-3.7520791619088034,3.027864913391161,88.8
-4.699026982062777,3.308915882602214,88.8
-5.6459618856155025,3.590010344197872,88.8
-6.592881680989048,3.871155642961773,88.8
-7.5397867632063855,4.152350491302247,88.8
-8.486679312847286,4.433587616938348,88.8
-9.433557666725932,4.714872557607698,88.8
-10.380420111814296,4.996211017277881,88.8
-11.327264935084342,5.2776086999164775,88.8
-12.274092125850444,5.559065681874975,88.8
-13.220903560396458,5.840575771945606,88.8
-14.16769807567583,6.122142802364279,88.8
-15.114474423762022,6.403770885656797,88.8
-16.06123135672852,6.6854641343489645,88.8
-17.007968588693675,6.96722353584222,88.8
-17.954687489932393,7.249044654880774,88.8
-18.9013874833931,7.530929342093631,88.8
-19.848067894830972,7.812879762988615,88.8
-20.79472805000119,8.094898083073545,88.8
-21.741367637657188,8.376985352185429,88.8
-22.687987314725746,8.659139570093437,88.8
-23.634586992642497,8.941360948715431,88.8
-24.581166518999208,9.223649893721802,88.8
-25.527725741387645,9.506006810782933,88.8
-26.474264463513567,9.788432340148436,88.8
-27.420782591931285,10.070927014310831,88.8
-28.36728044714249,10.353489686611894,88.8
-29.31375837620213,10.636119091250785,88.8
-30.260216726165144,10.91881396242666,88.8
-31.20665555686994,11.20157406313009,88.8
-32.15307405563123,11.484402325865085,88.8
-33.09947279883512,11.76729676786123,88.8
-34.045852541658014,12.050254769286317,88.8
-34.99221403927627,12.333273710308145,88.8
-35.938557662701754,12.616352302428654,88.8
-36.884882030341906,12.899495351552842,88.8
-37.83118781774957,13.182700566306941,88.8
-38.7774760784452,13.465964347684423,88.8
-39.72374786594922,13.749283096678743,88.8
-40.670003840481385,14.032654557225467,88.8
-41.61624217515396,14.316084980453882,88.8
-42.56246357491512,14.5995719981179,88.8
-43.50866937535486,14.88311109081927,88.8
-44.45486091206316,15.166697739159735,88.8
-45.40103917784435,15.450328583788375,88.8
-46.34720209027298,15.734010681264868,88.8
-47.293350202510254,16.017742185918046,88.8
-48.23948497202678,16.30151819349043,88.8
-49.18560785629317,16.585333799724523,88.8
-50.131720056061816,16.869184964055457,88.8
-51.07781944802534,17.15307883536904,88.8
-52.023906386825196,17.437014239157808,88.8
-52.96998239136484,17.720986085540375,88.8
-53.9160489805477,18.004989284635357,88.8
-54.86210750577893,18.289019307729127,88.8
-55.8081559872834,18.573082790239166,88.8
-56.754194507478495,18.85717946771253,88.8
-57.70022453221289,19.14130444209278,88.8
-58.646247527335255,19.425452815323453,88.8
-59.59226486649929,19.709619997306362,88.8
-60.53827482803529,19.99381173955735,88.8
-61.48427724884154,20.278028593900984,88.8
-62.43027351743071,20.562265930367403,88.8
-63.376265022315444,20.84651911898674,88.8
-64.32225311262704,21.130783661064147,88.8
-65.26823641436815,21.4150641364801,88.8
-66.2142145166084,21.699361918538656,88.8
-67.1601886552158,21.983672891762488,88.8
-68.10616006605848,22.26799294067426,88.8
-69.0521299750359,22.552317982983947,88.8
-69.99809734990063,22.83665145471712,88.8
-70.94406160934474,23.12099529258126,88.8
-71.89002386652801,23.405345792528255,88.8
-72.83598523461028,23.68969925051003,88.8
-73.7819468266222,23.97405196290809,88.8
-74.72790790692831,24.25840637715377,88.8
-75.6738677411885,24.542764936806755,88.8
-76.6198273535257,24.827124234722554,88.8
-77.56578776806288,25.111480863756658,88.8
-78.511750008923,25.395831416764587,88.8
-79.45771357437494,25.680177563853274,88.8
-80.40367758782958,25.964522221659077,88.8
-81.3496430348516,26.24886211006751,88.8
-82.295610905969,26.533193932447777,88.8
-83.24158219170985,26.817514392169063,88.8
-84.18755652257654,27.101824721383185,88.8
-85.1335328477267,27.38612841929865,88.8
-86.0795122360293,27.670421925427885,88.8
-87.0254957802833,27.954701599591935,88.8
-87.97148457328751,28.238963801611828,88.8
-88.91747839286923,28.523209275810476,88.8
-89.86347588974662,28.807442521814792,88.8
