x,y,v_max_ms
-1.428742107645675,1.1965561843919539,88.8
-1.321937601461364,2.1883323288115113,88.8
-1.2151858257353823,3.1801141418349372,88.8
-1.1084868195062643,4.171901623398876,88.8
-1.0018406218125437,5.163694773439971,88.8
-0.8952472716927549,6.155493591894868,88.8
-0.788707117717621,7.147298133945725,88.8
-0.682220082680574,8.139108401886157,88.8
-0.5757855390360038,9.130924311720033,88.8
-0.46940285918677616,10.122745779442736,88.8
-0.36307141553575595,11.11457272104965,88.8
-0.2567919521361089,12.106405231943537,88.8
-0.15056490187456995,13.098243377962378,88.8
-0.044388971416689064,14.090087005097761,88.8
0.06173713331224199,15.081935959245822,88.8
0.16781470638693133,16.073790086302687,88.8
0.27384309337051244,17.0656494698477,88.8
0.3798213531084751,18.05751422920766,88.8
0.485750745418167,19.04938421565581,88.8
0.5916325323438005,20.04125928019398,88.8
0.6974679759295878,21.03313927382401,88.8
0.80325687866102,22.025024229652225,88.8
0.9089983398114736,23.016914261416634,88.8
1.014692937573431,24.008809294306197,88.8
1.1203412529475143,25.000709253156003,88.8
1.225943866934345,25.99261406280114,88.8
1.3315012720221584,26.98452368222074,88.8
1.437013175094261,27.976438159786884,88.8
1.5424789450597831,28.96835754945914,88.8
1.6478979505242624,29.960281905147983,88.8
1.7532695600932353,30.952211280763926,88.8
1.8585952559103383,31.944145531006676,88.8
1.963875913461656,32.93608458095314,88.8
2.069108983663817,33.928028686396345,88.8
2.174291905883233,34.919978104232804,88.8
2.2794221194863136,35.911933091359046,88.8
2.3845016854600156,36.9038934438175,88.8
2.4895332377246007,37.895858903860116,88.8
2.5945126781061525,38.88782988710963,88.8
2.69943587605827,39.879806812422,88.8
2.804298701034558,40.87179009865315,88.8
2.9091036118985367,41.863779504111996,88.8
3.013854795353312,42.855774614004254,88.8
3.1185468461412804,43.84777597513443,88.8
3.2231742988188867,44.839784140340555,88.8
3.3277316879425736,45.83179966246058,88.8
3.43222142188771,46.82382231083013,88.8
3.536649003876954,47.815851543092116,88.8
3.6410084549988655,48.8078879570058,88.8
3.745293705267562,49.79993215938335,88.8
3.849498684697164,50.79198475703697,88.8
3.9536252597614663,51.78404558216271,88.8
4.057679501712308,52.7761140478453,88.8
4.16165592618413,53.76819068917195,88.8
4.265548935488897,54.76027605226253,88.8
4.369352931938573,55.75237068323687,88.8
4.473069064088135,56.744474493971246,88.8
4.5767029352515305,57.73658696356523,88.8
4.680250319125498,58.728708485617645,88.8
4.783706872621568,59.72083946465229,88.8
4.887068252651286,60.71298030519301,88.8
4.9903349983057845,61.705130984794806,88.8
